SubjectID	Sex	Ethnicity	Age	Raised	Nearest city	II.1	II.2	II.3	II.3a	II.3b	II.4	II.5	II.5a	II.6	II.7	III.1	III.2	III.3	III.4	III.5	III.6	III.7	III.8	III.9	III.10
197	f	asian	19	Levittown	New York	f	s	z (h,r)	no	s	w	2	ICING IS LIKE SMOOOOOTHER/THINNER? IDK MORE DELICATE. FROSTING IS THE STUFF THAT WOULD COME OUT OF A TUB	b	d	n	n	y	y	n	n	n	n	n	n
198	m	black	19	Hawthorne	Los Angeles	f	s	z (h,p)	Po'boy is southern food that is not with sandich meat. No difference between hoagie and sub	s	w	i		b	d	n	y	n	y	y	y	n	y	y	n
199	f	white	17	Leesburg	DC	l	s	s		s	w	2	no	b	d	y	y	y	n	n	y	n	n	y	n
200	m	white	20	York	Baltimore	l	s	s		s	w	i		b	d	y	y	y	y	n	y	n	n	y	n
201	f	white	19	York	Baltimore	l	s	s		s	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
202	f 	white	20	York	Baltimore	2	s	z (h)	no	s	w	2	no	b	d	n	y	y	y	n	n	n	y	y	n
203	m	asian	19	Guam	Guam	f	s	z (h)	no	s	w	2	no	p	d	y	y	y	y	n	y	n	y	y	y
204	f	white	19	Markham	Ontario	f	p	s		s	w	i		b	d	y	y	n	y	n	y	n	n	y	n
205	f	white	47	Hicksville	New York	l	s	h		h	w	f		b	d	n	n	y	y	n	n	n	n	n	n
206	m	white	60	Fort Lauderdale	Fort Lauderdale	l	s	s		s	d	2	FROSTING IS WHIPPED CREAM ICING IS BUTTERCREAM 	b	d	y	y	y	n	n	n	n	n	y	n
207	m	white	20	York	Baltimore	l	s	s		s	w	i		b	d	y	y	y	n	n	y	n	n	y	n
208	f	Caucasian	23	Chaumount, NY Syracuse, NY	Syracuse	2	s	s		sub	2 (d,w)	2		b	d	y	y	n	y	n	y	n	n	y	n
209	m	White/Caucasian	20	Rancho Palos Verdes,cA, USA	Los Angeles,cA, USA	2	s	z (g,h)	A hoagie is typically warm,but between a sub and a grinder, they are relatively similar. My family in Connecticut call it a grinder, and my friends in California call it a sub. No real difference though.	sub	2 (d,w)	2	Yes,frosting is more of a soft covering, and icing is more hard. Icing is a much simpler item to make,compared to frosting.	b	d	y	y	n	y	n	y	n	n	y	n
210	f	white	18	Syracuse, NY	5 hours from NYC	f	s	s		sub	w	2	Icing is thinner and more liquidy than frosting	b	d	y	y	n	y	n	y	n	n	y	n
211	f	White	20	Champaign, Illinois	Chicago,st. Louis	2	2 (f,s)	s		sub	2 (d,w)	2	Icing is thinner in consistency	b	d	n	y	n	y	n	y	n	n	y	n
212	f	Latina	21	Yabucoa,puerto Rico  Solvay, New York	Humacao,puerto Rico  Syracuse, New York	2	s	s		sub	2 (d,w)	2	When I think icing I think of the details (ie. Letters,flowers) but would probably use frosting more often	b	d	n	y	y	y	n	n	n	n	y	n
213	m	White	42	Sault Ste. Marie,ontario Burlington,ontario	Toronto	l	p	s		sub	w	i		b	2	y	y	n	y	n	y	n	n	y	n
214	f	Vietnamese	21	Hudson, New Hampshire Nashua, New Hampshire	Boston, Massachusetts	f	s	s		sub is only meant for sandwich in a long piece of bread. A square sandwich is just a sandwich or a panini if it's grilled.	w	2	Frosting is softer and more whipped like whipped cream. Icing is harder as it dries and it doesn't break as easily as frosting does if you dip your finger in it. Often icing is also sweeter because it's denser than frosting.	b	d	y	y	n	y	n	y	n	n	y	y
215	f	White	20	Philadelphia PA	New York City	l	s	h		hoagie	w	2	icing is heavier, and usually more flavored,whereas frosting is lighter and more like a glaze	b	d	y	n	y	y	n	y	n	y	y	n
216	f	Avery	20	Geddes, New York	Syracuse	f	s	s		sub	2 (d,w)	f		b	2	n	y	y	y	n	n	n	n	y	n
217	m	korean american	32	philadelphia,pennsylvania	...philadelphia?	l	s	2 (g,h)	grinders are hot,hoagie's use cold-cuts.	hoagie	w	2		b	d	n	n	y	y	n	n	n	n	n	n
218	f	Chinese	18	I was raised in Brooklyn, NY.	I would say Manhattan.	f	s	z (r,h)	The differences between the sandwiches are the types of bread they are made on and the style that is is arranged in.	sub	w	2		b	d	n	n	y	y	n	y	n	n	n	n
219	m	Caucasian	22	Kinderhook, NY	Albany, NY	l	s	s		sub	w	f		b	d	n	y	y	y	n	n	n	n	y	n
220	f	white	24	Baltimore, MD	D.C.	2	s	s		sub	w	2	icing is for decorations and details,frosting is overall	b	d	n	y	y	y	n	n	n	n	y	n
221	f	American	21	Western MA	Springfield MA	f	f	g		grinder	w	2	Icing is liquid that dries on the cake	b	s	y	y	y	n	n	y	n	n	y	n
222	f	white american	12	Lomita,cA PVE,cA 	Both are near Los Angeles or Torrance.	f	s	s		sandwich	2 (d,w)	2	The frosting is really sweet and icing is a harder frosting that is a different kind of sweet because it is compact. You usually push icing out of the corner of a bag.	b	d	y	y	y	y	n	y	n	n	y	n
223	m	White	18	Poughkeepsie, NY	New York City	f	s	s		sub	w	f		b	d	n	n	y	y	n	n	n	n	n	n
224	f	Caucasian	20	Erie,pA	Pittsburgh	2	p	s		sub	w	2	Icing is usually thinner and more viscous than frosting.	b	2	y	y	y	y	n	y	n	n	y	n
225	m	Norwegian American	22	Stanford, Montana	Nearest population center is Great Falls (60,000),but the town is approximately halfway between Seattle and Minneapolis.	f	p	z (h)	hoagie is warm,sub cold	sub	w	f		b	s	y	y	n	y	n	y	n	n	y	n
226	f	Asian American	18	NYC and Philadelphia	East coast, New England	f	s	z (h)	A sub is a hot sandwich, like a meatball sub, and a hoagie is cold.	hoagie	w	2		b	d	n	n	n	y	n	y	n	n	n	n
227	f	Caucasian	23	Albany, NY (4-6) Grand Haven, MI (6-adulthood)	Grand Haven, MI is near Chicago, IL	f	p	z (h,g,p)	Grinders are always hot,po'boys and hoagies are regional sandwiches (e.g. New Orleans style or Philly style) and a sub is the remaining	sub	d	2	icing is thinner than frosting	b	d	y	y	y	y	n	y	n	n	y	n
228	f	White	19	Granville NY Fort Ann, NY	Lake George or "NY, upstate, nearish to Canada"	l	s	s		sub	w	2		b	2	y	y	y	n	n	y	n	y	y	n
229	m	White	24	Las Vegas, NV Syracuse, NY	Las Vegas, NV Syracuse, NY	2	s	s		sub	w	2	Icing is used more for decorative cookies,whereas frosting would be more at home on a cupcake.	b	d	y	y	n	y	n	y	n	n	y	n
230	m	White	19	Berwyn,pennsylvania	Philadelphia	f	s	2 (g,h)	I think a grinder is hot, like a cheesesteak. But a hoagie can be hot or cold.	hoagie	w	2	I hear frosting,but most people say icing.	b	d	y	y	y	y	n	y	n	n	y	n
231	m	Irish	21	voorhees, nj	Philadelphia	f	2 (f,s)	z (h)	hoagie- mostly has meat and veggies sub- i.e. meatball sub	hoagie	w	2	frosting is for cupcakes  icing cake	b	d	y	y	y	y	n	y	y	n	n	n
232	f	Caucasian	21	Ithaca, NY	Rochester or Syracuse	2	s	s		sub	2 (d,w)	2	Icing is thinner usually a powdered sugar based and frosting is thicker and fluffier	b	d	n	n	n	n	n	n	n	n	y	n
233	m	White	19	Boca Raton,florida	Miami,florida 	f	s	z (p,h)	Hoagie and Sub are interchangeable Po'boy refers only to shrimp sandwiches	hoagie	w	i		b	d	y	y	n	y	n	y	n	n	y	n
234	m	Hispanic	23	Miami,fL	Miami,fL	2	2 (f,s)	s		sandwich, maybe a spanglish "sándwiche"	w	2		b	d	y	y	n	y	n	y	n	n	y	n
235	non binary	white	20	Jersey City, NJ Ocean Township, NJ	Newark/New York Asbury Park	f	s	z (h)		sub	w	2	frosting is the majority of the cake but icing is the stuff you use for fine details like writing or flowers	b	d	y	y	n	y	y	y	y	y	y	y
236	m	African American	66	Sacramento,california	San Francisco	f	s	z (h,r)	No; they are all cold sandwiches, the only difference is the types of meat each features.	sub	w	2		b	d	n	n	n	y	y	n	n	n	n	n
